LATITUDE,LONGITUDE,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,DAYNIGHT,X,Y
34.291744999999999,-118.802273999999997,2398.000000000000000,5078.000000000000000,12/11/2023 0:00:00,1828,L9,OLI-2,M,D,-118.802261709999996,34.291740099999998
34.292020000000001,-118.801953999999995,2399.000000000000000,5077.000000000000000,12/11/2023 0:00:00,1828,L9,OLI-2,H,D,-118.801941709999994,34.292015100000000
34.291750000000000,-118.801947999999996,2399.000000000000000,5078.000000000000000,12/11/2023 0:00:00,1828,L9,OLI-2,H,D,-118.801935709999995,34.291745100000000
34.291479000000002,-118.801941999999997,2399.000000000000000,5079.000000000000000,12/11/2023 0:00:00,1828,L9,OLI-2,H,D,-118.801929709999996,34.291474100000002
34.292025000000002,-118.801627999999994,2400.000000000000000,5077.000000000000000,12/11/2023 0:00:00,1828,L9,OLI-2,L,D,-118.801615709999993,34.292020100000002
34.291755000000002,-118.801621999999995,2400.000000000000000,5078.000000000000000,12/11/2023 0:00:00,1828,L9,OLI-2,H,D,-118.801609709999994,34.291750100000002
34.291483999999997,-118.801615999999996,2400.000000000000000,5079.000000000000000,12/11/2023 0:00:00,1828,L9,OLI-2,L,D,-118.801603709999995,34.291479099999997
33.716098000000002,-117.710756000000003,7042.000000000000000,1967.000000000000000,12/11/2023 0:00:00,1829,L9,OLI-2,L,D,-117.710743940000000,33.716093100000002
33.715828000000002,-117.710753999999994,7042.000000000000000,1968.000000000000000,12/11/2023 0:00:00,1829,L9,OLI-2,H,D,-117.710741940000005,33.715823100000001
33.715826000000000,-117.711078000000001,2171.000000000000000,1898.000000000000000,12/12/2023 0:00:00,1822,L8,OLI,L,D,-117.711065939999997,33.715821099999999
33.716098000000002,-117.710756000000003,2172.000000000000000,1897.000000000000000,12/12/2023 0:00:00,1822,L8,OLI,M,D,-117.710743940000000,33.716093100000002
33.715828000000002,-117.710753999999994,2172.000000000000000,1898.000000000000000,12/12/2023 0:00:00,1822,L8,OLI,H,D,-117.710741940000005,33.715823100000001
32.109563999999999,-110.894163000000006,5410.000000000000000,2541.000000000000000,12/16/2023 0:00:00,1758,L8,OLI,H,D,-110.894152320000003,32.109558960000001
30.340686000000002,-97.619293999999996,4601.000000000000000,3719.000000000000000,12/17/2023 0:00:00,1703,L8,OLI,H,D,-97.619286419999995,30.340680720000002
30.340686000000002,-97.619293999999996,4641.000000000000000,3719.000000000000000,12/25/2023 0:00:00,1703,L9,OLI-2,H,D,-97.619286419999995,30.340680720000002
30.340682999999999,-97.618982000000003,4642.000000000000000,3719.000000000000000,12/25/2023 0:00:00,1703,L9,OLI-2,H,D,-97.618974420000001,30.340677719999999
33.715828000000002,-117.710753999999994,2202.000000000000000,1898.000000000000000,12/28/2023 0:00:00,1822,L8,OLI,H,D,-117.710741940000005,33.715823100000001
33.715828000000002,-117.710753999999994,2172.000000000000000,1888.000000000000000,1/5/2024 0:00:00,1822,L9,OLI-2,H,D,-117.710741940000005,33.715823100000001
30.340957000000000,-97.619290000000007,4601.000000000000000,3718.000000000000000,1/10/2024 0:00:00,1703,L9,OLI-2,H,D,-97.619282420000005,30.340951720000000
30.340686000000002,-97.619293999999996,4601.000000000000000,3719.000000000000000,1/10/2024 0:00:00,1703,L9,OLI-2,H,D,-97.619286419999995,30.340680720000002
34.291744999999999,-118.802273999999997,2418.000000000000000,5078.000000000000000,1/12/2024 0:00:00,1828,L9,OLI-2,H,D,-118.802261709999996,34.291740099999998
34.292020000000001,-118.801953999999995,2419.000000000000000,5077.000000000000000,1/12/2024 0:00:00,1828,L9,OLI-2,H,D,-118.801941709999994,34.292015100000000
34.291750000000000,-118.801947999999996,2419.000000000000000,5078.000000000000000,1/12/2024 0:00:00,1828,L9,OLI-2,H,D,-118.801935709999995,34.291745100000000
33.716098000000002,-117.710756000000003,5752.000000000000000,7247.000000000000000,1/12/2024 0:00:00,1828,L9,OLI-2,M,D,-117.710743940000000,33.716093100000002
33.715828000000002,-117.710753999999994,5752.000000000000000,7248.000000000000000,1/12/2024 0:00:00,1828,L9,OLI-2,H,D,-117.710741940000005,33.715823100000001
33.715556999999997,-117.710751999999999,5752.000000000000000,7249.000000000000000,1/12/2024 0:00:00,1828,L9,OLI-2,H,D,-117.710739939999996,33.715552099999996
33.715829999999997,-117.710430000000002,5753.000000000000000,7248.000000000000000,1/12/2024 0:00:00,1828,L9,OLI-2,M,D,-117.710417939999999,33.715825100000004
33.715556999999997,-117.710751999999999,7072.000000000000000,1969.000000000000000,1/12/2024 0:00:00,1829,L9,OLI-2,H,D,-117.710739939999996,33.715552099999996
33.715829999999997,-117.710430000000002,7073.000000000000000,1968.000000000000000,1/12/2024 0:00:00,1829,L9,OLI-2,M,D,-117.710417939999999,33.715825100000004
33.716098000000002,-117.710756000000003,7072.000000000000000,1967.000000000000000,1/12/2024 0:00:00,1829,L9,OLI-2,M,D,-117.710743940000000,33.716093100000002
33.715828000000002,-117.710753999999994,7072.000000000000000,1968.000000000000000,1/12/2024 0:00:00,1829,L9,OLI-2,H,D,-117.710741940000005,33.715823100000001
33.716098000000002,-117.710756000000003,2202.000000000000000,1897.000000000000000,1/13/2024 0:00:00,1822,L8,OLI,M,D,-117.710743940000000,33.716093100000002
33.715828000000002,-117.710753999999994,2202.000000000000000,1898.000000000000000,1/13/2024 0:00:00,1822,L8,OLI,H,D,-117.710741940000005,33.715823100000001
33.715556999999997,-117.710751999999999,2202.000000000000000,1899.000000000000000,1/13/2024 0:00:00,1822,L8,OLI,M,D,-117.710739939999996,33.715552099999996
30.340686000000002,-97.619293999999996,4581.000000000000000,3719.000000000000000,1/18/2024 0:00:00,1703,L8,OLI,H,D,-97.619286419999995,30.340680720000002
30.340957000000000,-97.619290000000007,4581.000000000000000,3718.000000000000000,1/18/2024 0:00:00,1703,L8,OLI,L,D,-97.619282420000005,30.340951720000000
33.715828000000002,-117.710753999999994,7092.000000000000000,1978.000000000000000,1/28/2024 0:00:00,1828,L9,OLI-2,H,D,-117.710741940000005,33.715823100000001
34.292020000000001,-118.801953999999995,2439.000000000000000,5077.000000000000000,1/28/2024 0:00:00,1828,L9,OLI-2,H,D,-118.801941709999994,34.292015100000000
