"","LATITUDE","LONGITUDE","BRIGHTNESS","SCAN","TRACK","ACQ_DATE","ACQ_TIME","SATELLITE","INSTRUMENT","CONFIDENCE","VERSION","BRIGHT_T31","FRP","DAYNIGHT","TYPE","X","Y","Date"
"71",33.71754,-117.695227,NA,5760,7242,"9/3/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.69521494,33.7175351,2022-09-03
"72",34.29175,-118.801948,NA,2419,5088,"9/11/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-118.80193571,34.2917451,2022-09-11
"73",34.291479,-118.801942,NA,2419,5089,"9/11/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-118.80192971,34.2914741,2022-09-11
"74",34.291755,-118.801622,NA,2420,5088,"9/11/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-118.80160971,34.2917501,2022-09-11
"75",33.716097,-117.71108,NA,5751,7257,"9/11/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71106794,33.7160921,2022-09-11
"76",33.716098,-117.710756,NA,5752,7257,"9/11/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-09-11
"77",33.715828,-117.710754,NA,5752,7258,"9/11/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-09-11
"78",34.29202,-118.801954,NA,2419,5087,"9/11/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-118.80194171,34.2920151,2022-09-11
"79",33.715828,-117.710754,NA,7062,1978,"9/11/2022 0:00:00",1829,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-09-11
"80",33.716098,-117.710756,NA,7062,1977,"9/11/2022 0:00:00",1829,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-09-11
"81",33.716097,-117.71108,NA,7061,1977,"9/11/2022 0:00:00",1829,"L8","OLI","L",NA,NA,NA,"D",NA,-117.71106794,33.7160921,2022-09-11
"82",33.717269,-117.695224,NA,2220,1893,"9/12/2022 0:00:00",1822,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.69521194,33.7172641,2022-09-12
"83",30.340686,-97.619294,NA,4621,3719,"9/25/2022 0:00:00",1703,"L8","OLI","H",NA,NA,NA,"D",NA,-97.61928642,30.34068072,2022-09-25
"84",33.716098,-117.710756,NA,2202,1897,"9/28/2022 0:00:00",1822,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-09-28
"85",33.716097,-117.71108,NA,2201,1897,"9/28/2022 0:00:00",1822,"L9","OLI-2","L",NA,NA,NA,"D",NA,-117.71106794,33.7160921,2022-09-28
"86",33.717269,-117.695224,NA,2250,1893,"9/28/2022 0:00:00",1822,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.69521194,33.7172641,2022-09-28
"87",33.715828,-117.710754,NA,2202,1898,"9/28/2022 0:00:00",1822,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-09-28
"88",34.291484,-118.801616,NA,2360,5079,"10/5/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-118.80160371,34.2914791,2022-10-05
"89",34.291755,-118.801622,NA,2360,5078,"10/5/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-118.80160971,34.2917501,2022-10-05
"90",34.291479,-118.801942,NA,2359,5079,"10/5/2022 0:00:00",1828,"L9","OLI-2","M",NA,NA,NA,"D",NA,-118.80192971,34.2914741,2022-10-05
"91",34.29175,-118.801948,NA,2359,5078,"10/5/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-118.80193571,34.2917451,2022-10-05
"92",34.29202,-118.801954,NA,2359,5077,"10/5/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-118.80194171,34.2920151,2022-10-05
"93",33.716098,-117.710756,NA,5692,7247,"10/5/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-10-05
"94",33.715828,-117.710754,NA,5692,7248,"10/5/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-10-05
"95",33.717269,-117.695224,NA,5740,7243,"10/5/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.69521194,33.7172641,2022-10-05
"96",30.340686,-97.619294,NA,4511,3729,"10/11/2022 0:00:00",1703,"L8","OLI","H",NA,NA,NA,"D",NA,-97.61928642,30.34068072,2022-10-11
"97",34.291755,-118.801622,NA,2300,5088,"10/13/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-118.80160971,34.2917501,2022-10-13
"98",34.29175,-118.801948,NA,2299,5088,"10/13/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-118.80193571,34.2917451,2022-10-13
"99",30.340686,-97.619294,NA,4611,3719,"10/19/2022 0:00:00",1703,"L9","OLI-2","H",NA,NA,NA,"D",NA,-97.61928642,30.34068072,2022-10-19
